MOSCAP CV measurement data file.
Measurement comments:

DC bias (V)	Capacitance (F)	Quality factor
6,450000	4,848720E-11	89,001000
6,500000	4,851800E-11	88,565300
6,550000	4,855660E-11	88,118500
6,600000	4,861450E-11	87,257700
6,650000	4,880650E-11	84,700000
6,700000	5,089670E-11	76,785700
6,750000	5,134530E-11	83,495700
6,800000	5,129880E-11	85,385600
6,850000	5,145960E-11	90,158800
6,900000	5,147180E-11	98,549400
6,950000	5,165210E-11	123,658000
7,000000	5,049470E-11	1061,060000
7,050000	4,971190E-11	110,571000
7,100000	4,977650E-11	132,205000
7,150000	4,982220E-11	155,195000
7,200000	4,991800E-11	114,364000
7,250000	4,989110E-11	140,183000
7,300000	4,995800E-11	117,232000
7,350000	5,000590E-11	97,217900
7,400000	5,002670E-11	94,357300
7,450000	5,045070E-11	84,594600
7,500000	5,248200E-11	78,823000
7,550000	5,265130E-11	85,094700
7,600000	5,241860E-11	88,014800
7,650000	5,242330E-11	86,045400
7,700000	5,254910E-11	84,380900
7,750000	5,277710E-11	83,128400
7,800000	5,287630E-11	81,817000
7,850000	5,298960E-11	81,058300
7,900000	5,163040E-11	115,708000
7,950000	5,023080E-11	87,288400
8,000000	5,022450E-11	85,245300
8,050000	5,024160E-11	84,453300
8,100000	5,025170E-11	83,851900
8,150000	5,026250E-11	82,484400
8,200000	5,027750E-11	82,109200
8,250000	5,058440E-11	76,962000
8,300000	5,263080E-11	74,551800
8,350000	5,279990E-11	76,909800
8,400000	5,278570E-11	76,617900
8,450000	5,228050E-11	80,155200
8,500000	5,188130E-11	79,041100
8,550000	5,173670E-11	78,581900
8,600000	5,180100E-11	79,012700
8,650000	5,184550E-11	77,810700
8,700000	5,192350E-11	78,674900
8,750000	5,190000E-11	78,276000
8,800000	5,064190E-11	89,428100
8,850000	5,031540E-11	81,430800
8,900000	5,032850E-11	81,416100
8,950000	5,033880E-11	81,951000
9,000000	5,034730E-11	82,108500
9,050000	5,035260E-11	82,389700
9,100000	5,036220E-11	82,778700
9,150000	5,112250E-11	74,570900
9,200000	5,259840E-11	78,825600
9,250000	5,242440E-11	79,301300
9,300000	5,234970E-11	80,142400
9,350000	5,232470E-11	81,013200
9,400000	5,247520E-11	79,073100
9,450000	5,244280E-11	80,623100
9,500000	5,237810E-11	80,014400
9,550000	5,244650E-11	78,506900
9,600000	5,058070E-11	89,574000
9,650000	5,036870E-11	82,207900
9,700000	5,036640E-11	82,147900
9,750000	5,037280E-11	81,774800
9,800000	5,037640E-11	81,530000
9,850000	5,038070E-11	81,177800
9,900000	5,038310E-11	81,450400
9,950000	5,040930E-11	80,841800
10,000000	5,049800E-11	79,902800
